Student ID,CGPA,Internships,Projects,Workshops,AptitudeTestScore,SoftSkillsRating,PlacementTraining,Placed
84,8.3,2,3,1,90,4.2,1,1
85,7.6,0,2,0,86,4.8,1,1
86,6.7,1,3,0,87,4.6,0,0
87,8.1,0,2,1,84,3.8,0,0
88,8.5,1,2,2,79,3.9,1,1
89,8.8,1,3,0,76,4.7,1,1
90,7.2,1,2,0,68,4.2,1,0
91,7.6,1,1,0,80,4.5,1,0
92,7.1,1,1,0,70,3.3,0,0
93,8.1,1,3,2,89,4.6,1,1
94,7.4,1,3,0,83,4.2,1,0
95,7.7,2,2,2,85,4.8,1,0
96,7.5,0,1,1,75,3.3,1,0
97,7.5,1,1,0,64,4,0,0
98,7.8,2,2,2,90,4.8,0,1
99,7.7,1,3,1,89,4.6,1,1
100,7.9,0,1,2,83,4.8,0,0
101,7.4,1,2,1,63,3.9,0,0
102,7.3,1,1,0,80,4.7,1,0
103,6.5,1,1,1,62,3.8,1,0
104,7.5,2,1,1,76,4.2,1,0
105,6.5,1,1,0,68,4.1,0,0
106,8.5,2,3,2,90,4.8,1,1
107,6.7,0,1,1,74,3.9,0,0
108,6.5,0,1,0,82,4.4,0,0
109,8.1,1,3,2,90,4.8,1,1
110,8.7,2,3,2,90,4.8,1,1
111,8,1,1,3,84,4,1,0
112,7.3,1,3,1,81,4.2,1,0
113,7.4,1,1,1,81,4.1,0,0
114,8.6,2,3,0,81,4.7,0,1
115,6.7,2,1,2,76,4.8,0,0
116,7.6,1,1,1,67,3.5,0,0
117,8.8,1,3,2,90,4.6,1,1
118,6.5,1,2,0,65,4.4,1,0
119,6.5,1,2,1,78,4.2,0,0
120,7.4,1,2,1,75,4.2,1,0
121,8.7,2,3,2,81,4.7,1,1
122,8,1,1,1,68,4.2,1,0
123,7.7,1,3,2,90,4.8,0,1
124,7.3,1,1,0,64,3.2,1,0
125,8.4,2,1,2,76,4.1,0,0
126,7.7,1,2,0,73,4,1,1
127,7.5,1,1,1,68,4.7,0,0
128,7.4,0,1,0,79,4.3,0,0
129,7.4,1,1,1,64,4.3,1,0
130,8.5,1,2,2,90,4.8,1,1
131,8,1,3,0,80,4.4,1,1
132,6.5,1,1,1,72,3.8,0,0
133,8.4,1,1,0,81,4.6,0,1
134,8.7,0,3,2,88,4.8,0,0
135,8,0,1,0,60,4,0,0
136,8.4,2,3,1,88,4.6,1,0
137,8.2,2,3,2,90,4.4,1,1
138,8.1,2,2,2,90,4.5,1,1
139,7.9,1,3,1,75,3.7,1,0
140,8.9,2,3,2,90,4.8,1,1
141,6.5,1,1,1,72,4.5,0,0
142,7.6,1,1,0,73,4.3,1,1
143,8.4,1,3,2,90,4.6,1,1
144,7.8,2,3,0,77,4.8,1,0
145,8.4,1,2,1,74,4.3,1,1
146,7.6,1,2,0,74,3.7,1,1
147,7.9,1,1,1,62,4.6,1,0
148,7.9,1,3,1,80,4.2,1,1
149,8,2,1,2,90,4.8,1,0
150,7.9,2,1,0,83,4,1,0
151,8.4,2,3,2,90,4.8,1,1
152,8.6,0,3,2,90,4.8,1,1
153,7.8,0,1,0,81,3.9,1,1
154,8.1,2,3,3,90,4.8,1,1
155,7.2,1,3,1,75,4.2,1,0
156,7.7,0,1,0,81,4.8,1,1
157,8.4,1,3,2,90,4.5,1,1
158,8,1,3,1,87,4.6,1,0
159,7.8,0,1,1,72,4,0,0
160,6.5,1,1,0,63,3.5,0,0
161,6.5,0,3,0,71,3.6,1,0
162,7.9,1,2,1,81,4,1,0
163,6.7,1,1,0,75,4.2,0,0
164,6.9,0,1,0,73,4.1,1,1
165,6.5,1,1,2,85,4.3,0,1
166,6.5,0,1,1,79,3.9,0,0
167,7.3,1,1,1,71,3.6,0,0
168,8.3,2,3,0,71,4.6,1,1
169,7.5,1,1,1,74,3.9,0,0
170,8,2,3,3,76,4.1,1,0
171,8.3,1,2,1,69,3.8,1,0
172,6.6,0,3,0,87,4.5,0,0
173,7.4,0,3,0,90,4.6,0,0
174,8,1,1,1,78,4.4,0,0
175,8,2,3,2,90,4.8,1,1
176,6.7,1,2,0,73,4.5,1,0
177,8.3,1,2,3,78,3.8,0,0
178,8.5,1,3,2,90,4.8,1,1
179,7.5,2,1,2,90,4.8,0,0
180,7.4,1,1,0,60,3.4,0,0
181,8.4,0,1,2,88,4.8,1,1
182,8.2,1,3,0,82,4.8,1,1
183,6.5,1,1,0,74,4.2,1,0
184,7.7,1,1,0,71,4.7,1,0
185,7.3,1,2,2,67,4.5,0,0
186,6.5,0,1,0,78,3.7,1,0
187,6.5,1,1,1,68,4.1,0,0
188,7.5,1,1,0,76,4.3,1,0
189,7.8,1,1,1,65,3.9,0,0
190,6.8,1,1,0,78,4.3,0,0
191,8.4,2,3,2,90,4.1,1,1
192,7.8,2,2,2,80,4.6,1,1
193,7.5,1,2,0,77,4.2,1,0
194,8.9,0,1,2,80,4.8,1,1
195,6.5,0,1,0,75,3.7,0,0
196,8.4,1,1,2,87,4.1,0,0
197,8.1,0,1,0,71,3.6,0,0
198,8.5,2,3,0,86,4.2,1,1
199,7.6,1,1,1,82,4.8,1,1
200,7.8,2,3,0,79,4.3,0,0
201,8.6,1,3,2,90,4.7,1,1
202,7.9,2,3,2,76,4.6,1,1
203,6.5,0,2,2,75,4.5,0,0
204,8.2,0,2,1,82,4.5,1,1
205,8.2,1,1,0,81,4.3,1,1
206,7.6,1,1,0,64,4.1,0,0
207,7.3,1,2,1,84,4.6,1,0
208,8.4,2,3,2,90,4.5,1,1
209,8.3,2,3,3,90,4.5,1,1
210,7.8,1,3,0,88,4.8,1,1
211,8.3,1,2,1,82,4.7,1,0
212,7.5,1,1,1,69,4.1,0,0
213,8.6,2,3,2,78,4.8,1,0
214,7.8,2,2,2,77,4.2,0,0
215,6.6,1,1,1,71,4.3,0,0
216,7.4,0,1,1,70,4.2,0,0
217,6.9,1,2,1,74,4.1,0,0
218,6.6,1,1,0,77,4.5,0,0
219,8.3,1,2,2,88,4.1,1,1
220,7.9,2,2,2,88,4.8,1,1
221,6.6,1,2,1,76,4.1,1,0
222,8,2,3,2,86,4.8,1,1
223,7.5,1,2,0,86,3.8,0,0
224,7.9,2,3,2,90,4.8,0,0
225,8.3,1,3,2,78,3.9,1,1
226,7.4,1,1,0,74,3.5,1,0
227,8,2,2,2,87,3.8,1,1
228,8.7,2,3,2,87,4.7,1,1
229,7.4,1,2,0,77,4.5,1,0
230,7.9,2,3,2,90,4.8,1,1
231,7.5,1,1,1,70,4.6,0,0
232,7.4,2,1,1,87,4.5,1,0
233,7.7,0,1,1,69,4.8,1,0
234,7.8,0,1,1,70,3.8,1,0
235,7.5,2,3,0,88,4.6,1,0
236,8.2,2,3,1,69,4,1,0
237,7.8,1,3,2,75,4.3,1,0
238,7.6,1,1,0,72,4.6,1,0
239,8.5,2,3,2,90,4.8,1,1
240,6.7,0,1,1,71,4.7,1,0
241,7.6,1,3,0,82,4.5,1,0
242,7.6,0,2,0,80,3.7,0,0
243,7.3,1,2,0,71,4.4,1,0
244,8.1,1,2,1,78,3.5,1,0
245,7.6,2,3,0,88,4.4,1,1
246,7.4,1,2,0,77,3.8,1,0
247,8.4,0,2,1,85,4.3,1,1
248,6.7,1,2,1,73,4.3,1,0
249,6.5,1,1,0,70,4.7,1,0
250,7.4,1,2,1,68,3.4,1,0
251,8.4,2,3,1,76,4.1,1,0
252,6.5,1,1,0,68,4.3,1,0
253,6.6,1,2,1,82,4.4,1,0
254,8.1,0,2,2,80,4.4,0,1
255,6.5,1,1,0,74,4.2,0,0
256,8.5,1,3,2,75,4.5,1,0
257,8.7,2,3,2,90,4.8,1,1
258,7.5,1,2,3,86,4.8,1,0
259,8.1,2,3,2,90,4.8,1,1
260,8.2,1,3,1,83,4.1,1,0
261,8.7,2,1,0,66,4.8,0,0
262,6.6,0,1,2,72,4.2,1,1
263,8.1,0,2,3,78,4.1,1,1
264,6.5,1,3,0,80,3.7,0,0
265,7.4,1,1,0,88,4.5,1,1
266,8.2,2,3,2,80,4.8,1,1
267,6.8,2,2,2,80,4.6,1,0
268,8,1,2,1,76,4.5,1,0
269,8.5,1,3,0,82,4.4,1,1
270,6.6,1,2,1,65,4.1,0,0
271,8.4,1,2,0,79,3.8,1,0
272,7.8,1,1,1,79,3.7,1,0
273,7.7,1,2,0,81,3.8,1,0
274,6.8,1,1,0,73,3.7,1,0
275,7.3,1,2,1,71,4.7,0,0
276,6.5,2,2,2,79,4.5,1,1
277,8.3,2,1,1,83,4.5,1,0
278,7.3,1,2,1,79,3.8,1,0
279,6.8,1,2,1,65,3.9,1,1
280,8.7,1,3,2,90,4.8,1,1
281,8.3,2,3,1,90,4.8,0,1
282,8.2,1,2,1,79,3.8,1,0
283,8.2,1,1,2,86,4.4,0,0
284,8.5,0,2,0,81,3.2,1,0
285,8,0,1,1,87,3.8,1,0
286,7.9,1,1,0,77,4.7,1,0
287,7.7,1,1,2,82,4.4,0,0
288,7.6,0,3,3,75,4.3,1,1
289,6.7,1,3,0,77,4.1,1,0
290,8.5,0,2,2,75,4.5,0,1
291,8.8,1,2,2,90,4.8,0,1
292,6.5,2,3,1,82,4.6,0,0
293,7.5,0,1,1,80,4.2,0,0
294,7.7,2,3,2,78,4.6,1,0
295,7.7,0,1,0,79,4.8,1,0
296,8.6,1,1,2,84,4.3,1,1
297,7.5,0,2,0,69,3.6,0,0
298,6.8,1,1,0,68,4.3,1,0
299,8.1,0,3,2,90,4.8,1,0
300,8.4,2,3,3,82,4.5,0,1
301,7.5,1,1,0,67,3.4,0,0
302,8.1,1,3,0,70,4.8,0,0
303,7.4,1,1,1,64,4,0,0
304,8.4,2,3,2,80,4.6,1,1
305,8.2,0,3,2,90,4.8,1,1
306,8,1,2,1,80,4.3,1,0
307,7.9,0,3,2,90,4.8,1,1
308,6.8,0,1,0,77,3.3,0,0
309,8.3,2,3,2,82,4.6,1,1
310,7.4,1,2,1,75,4.3,1,0
311,7.6,1,1,0,66,4.1,1,0
312,8.5,2,3,1,90,4.8,1,0
313,8.2,2,3,2,90,4.6,1,1
314,8.2,1,3,2,90,4.3,1,1
315,6.5,1,1,0,79,3.6,1,0
316,7.5,1,1,2,82,4.5,1,1
317,7.5,1,2,1,85,4.1,1,0
318,6.6,0,1,1,67,4.3,1,0
319,7.6,1,1,1,88,4.5,1,1
320,7.5,1,1,1,81,4.5,1,0
321,7.5,0,2,1,66,4.5,1,1
322,8.5,2,3,1,85,4.3,1,1
323,7.9,2,1,0,71,4.8,1,0
324,8.2,0,2,0,85,4.1,0,0
325,7.2,1,2,0,69,4,1,0
326,8.6,2,3,2,90,4.8,1,1
327,6.5,1,1,1,78,3.9,1,1
328,8.7,1,3,0,86,4.5,1,1
329,7.8,1,2,0,78,4.8,1,1
330,7.7,1,1,0,80,4,1,0
331,6.5,0,2,0,80,4.6,1,1
332,8.5,1,2,1,71,3.8,1,0
333,7.4,2,3,0,86,4.6,1,1
334,8.6,1,3,2,81,4.8,1,1
335,8,1,2,1,88,3.6,1,0
336,7.8,1,3,1,89,4.6,1,1
337,8.1,1,3,2,90,4.7,0,1
338,7.2,1,2,0,83,4.5,1,0
339,8.4,2,3,2,87,4.8,1,1
340,8.4,0,3,2,85,4.6,1,0
341,8.3,0,3,1,88,4.7,1,0
342,7.2,0,2,1,66,3.9,0,0
343,8.6,2,3,2,90,4.8,1,1
344,7.9,2,1,0,73,4.2,0,0
345,6.6,1,1,2,81,4.8,0,0
346,7.1,1,1,1,63,3.6,1,0
347,7.8,0,3,0,90,4.7,1,1
348,6.6,1,1,1,81,4,0,0
349,6.5,2,3,0,79,3.7,1,0
350,7.5,2,1,0,83,4.6,0,0
351,7.5,1,2,0,70,3.7,1,0
352,7.8,0,2,2,74,4.6,1,0
353,6.6,1,2,0,71,4,0,1
354,7.4,1,2,0,72,4.3,1,0
355,7.8,1,3,2,77,4.2,0,0
356,8.2,2,3,2,90,4.8,1,1
357,8.9,2,3,2,89,4.6,1,1
358,8.2,1,2,1,90,4.8,1,1
359,7.5,1,3,0,70,4.2,1,0
360,7.7,1,2,0,68,3.9,1,0
361,8.7,1,3,2,90,4.7,1,1
362,7.5,1,1,1,65,4.4,1,0
363,6.6,1,1,1,82,3.7,1,1
364,7.4,2,3,1,84,4.8,1,1
365,7.5,0,3,2,90,4.8,1,1
366,8.2,1,1,1,79,4.6,1,0
367,8.7,1,2,0,84,4.4,1,1
368,8,2,3,1,87,4.2,1,1
369,8.4,2,2,0,76,4.4,1,1
370,8,2,2,2,81,4.5,0,0
371,7.5,1,2,2,70,4.7,1,0
372,6.5,1,3,2,90,4,0,1
373,7.8,0,3,2,73,4.6,0,0
374,7.6,1,2,0,64,4.5,1,0
375,8.7,0,3,0,75,3.7,1,0
376,7.2,1,1,0,85,3.5,1,0
377,8.1,1,3,2,90,4.7,1,1
378,7.4,1,2,0,77,4.1,1,0
379,8.2,2,2,2,81,4.8,1,1
380,8.2,2,1,2,90,4.8,1,1
381,6.5,1,2,1,65,4,1,0
382,7.4,0,2,1,73,3.8,0,0
383,7.3,0,1,1,80,3.6,1,0
384,8.7,0,1,1,87,4.1,0,0
385,8.5,2,1,3,82,3.6,1,0
386,8.5,1,3,2,74,4.1,1,1
387,7.9,1,2,1,76,4.1,1,0
388,7.4,2,3,0,71,4.8,1,0
389,6.7,1,2,0,86,4.4,0,1
390,8.3,2,3,2,82,4.8,1,1
391,7.6,1,1,0,76,4.3,1,0
392,7.5,1,2,0,90,4.2,1,1
393,8.9,0,3,0,89,4.8,0,1
394,7.3,1,1,0,79,4.1,0,0
395,8.6,1,2,0,86,4.8,1,1
396,8.2,2,3,2,90,4.8,1,1
397,7.7,1,1,1,73,4.6,0,0
398,7.9,1,3,0,88,4.7,1,1
399,7.4,1,1,1,87,4.6,1,0
400,6.9,0,1,0,90,4.5,1,1
401,8,1,3,2,90,4.8,1,1
402,7.1,1,3,0,81,4.4,1,0
403,6.9,0,1,1,76,3.8,0,0
404,8.5,2,3,2,90,4.8,1,1
405,6.9,0,1,2,76,4.8,0,1
406,7.3,1,1,1,77,4.7,1,0
407,7.8,2,3,0,89,4.6,1,0
408,8.3,2,1,0,81,4.1,1,0
409,8.6,1,3,2,83,4.4,1,1
410,8.6,2,3,0,87,4.8,0,0
411,8.7,2,1,0,90,4.7,1,1
412,7.5,1,3,2,90,4.2,1,1
413,7.8,0,1,1,63,4.5,0,0
414,6.5,0,1,0,71,3.4,1,0
415,7.6,1,3,1,73,4.4,1,0
416,6.5,1,1,1,80,3.8,1,0
417,8,1,3,0,75,4.3,0,0
418,8,2,3,0,86,4.8,1,1
419,7.5,1,1,0,67,4.2,1,1
420,7.8,1,3,0,78,4.4,1,1
421,7.3,1,1,1,75,3.6,1,0
422,7.8,1,2,0,82,4.7,1,0
423,6.5,1,1,1,82,3.4,0,0
424,8.1,1,3,3,90,4.8,1,1
425,7.9,0,1,0,85,4.5,0,0
426,8.7,1,3,0,74,4.6,1,1
427,7.1,2,2,0,76,4,1,1
428,8.9,1,3,2,81,4.8,0,1
429,8.3,0,3,0,75,4.2,0,0
430,8.3,1,2,0,90,4.5,1,1
431,7.9,2,3,2,86,4.7,1,1
432,8.1,2,3,2,90,4.5,1,1
433,7.7,2,1,1,64,3.7,1,0
434,8.1,2,3,2,85,4.5,1,1
435,7.8,1,3,0,81,4.3,0,0
436,7.2,1,1,1,67,3.8,0,0
437,8.4,1,1,2,84,4.8,1,1
438,8.4,2,3,2,90,4.8,1,1
439,8.2,1,1,0,76,4.2,1,0
440,6.5,0,1,0,67,4.3,0,1
441,6.5,1,1,0,73,4.1,1,0
442,8.3,2,3,2,90,4.8,1,1
443,8.2,0,3,2,78,4.5,1,1
444,8.1,1,2,2,76,4.5,1,1
445,6.5,1,1,1,60,3.8,0,0
446,8.2,0,3,1,83,4.7,0,0
447,7.7,1,3,1,75,4.6,1,0
448,7.7,0,3,2,89,4.4,1,1
449,6.5,1,1,0,80,4.3,1,0
450,8.3,2,3,2,87,4.8,1,0
451,8,1,3,0,77,4.1,0,1
452,8.6,0,2,1,90,4.6,1,1
453,7.6,0,2,0,83,4.2,1,0
454,7,1,1,1,71,4.3,1,0
455,7.9,2,3,2,90,4.8,1,1
456,7.7,1,3,2,84,4.6,1,1
457,7.4,1,3,0,76,4.4,1,0
458,6.5,1,1,1,78,4.1,1,0
459,7.4,1,2,0,73,4.3,1,0
460,7.8,2,3,2,84,4.1,1,1
461,7.7,1,1,0,80,4.8,1,0
462,7.9,0,1,0,60,3.4,0,0
463,7.4,1,1,0,79,4.8,1,0
464,8.2,2,2,1,76,4.6,1,0
465,7.4,0,1,0,78,4.6,0,0
466,6.7,1,1,1,66,3.6,0,0
467,6.5,1,2,0,84,4.2,0,0
468,7.8,0,1,1,73,4.8,1,1
469,7.2,1,2,1,68,4.4,0,0
470,8.1,0,2,0,88,4,1,1
471,8.2,1,2,0,83,4.6,1,1
472,8.2,0,3,3,90,4.7,1,1
473,8.4,2,1,2,81,4.7,1,0
474,7.8,0,3,2,77,4.2,1,0
475,7.3,1,2,1,75,4.6,1,0
476,7.5,1,1,0,67,4.6,0,0
477,8,2,1,0,74,4.1,1,1
478,7.5,2,3,2,90,4.7,1,1
479,8.4,2,3,1,85,4.7,1,1
480,6.6,1,1,0,73,3.4,0,0
481,7.6,1,1,0,66,3.7,1,0
482,7.1,1,2,0,80,4.3,1,0
483,7.6,1,2,2,69,3.3,1,0
484,7.5,1,1,2,75,3.5,1,0
485,6.5,1,1,0,74,3.9,0,0
486,6.7,1,1,1,73,4,1,0
487,8.3,1,3,1,86,4.8,1,0
488,8.6,2,1,2,73,4.6,0,0
489,6.6,1,3,0,70,4.1,0,1
490,8.3,1,3,0,82,4.8,1,0
491,7.6,1,2,1,76,3.9,0,0
492,8.3,2,3,2,79,4.4,1,1
493,8.5,1,2,1,70,4.5,1,1
494,7.7,1,2,0,82,4.3,1,0
495,7.4,1,1,0,89,4.4,1,0
496,8.8,1,3,2,88,4.8,1,1
497,7,1,2,0,75,4.6,1,0
498,7.7,0,3,2,86,4.7,1,0
499,7.5,0,2,0,71,3.4,0,0
500,7.5,1,1,1,79,3.6,1,0
501,7.8,1,1,0,82,4.2,1,0
502,6.8,1,1,2,74,4.2,0,0
503,7.3,0,1,0,80,3.5,1,0
504,7.2,0,2,1,60,3.6,0,0
505,6.7,2,0,0,69,3.9,1,0
506,7.3,0,3,2,77,4.6,1,1
507,6.6,2,3,1,72,4.6,0,0
508,6.9,2,1,0,67,4,0,0
509,8.2,1,1,0,79,4.2,0,0
510,6.7,1,2,1,80,4.1,0,0
511,7.9,1,2,1,63,4.2,1,0
512,8.3,2,3,2,89,4.7,1,1
513,6.8,0,2,0,88,4.5,1,0
514,7.6,1,2,0,88,4.8,1,0
515,7.9,2,3,2,90,4.8,1,0
516,6.5,0,3,0,81,4.8,1,0
517,7.3,1,1,1,69,4.2,0,0
518,7.7,2,3,0,78,4.1,1,0
519,7.9,1,2,2,75,4.6,1,0
520,7.9,2,3,1,82,4.2,1,0
521,7.5,1,1,0,71,3.7,1,0
522,7.5,1,3,0,86,4.2,1,0
523,8.2,1,1,2,83,4.4,1,1
524,8,0,3,3,90,4.3,1,1
525,7.5,1,3,1,89,4.2,1,0
526,7.8,1,1,0,69,4.7,0,0
527,8.1,0,2,0,80,4.5,1,0
528,8.2,1,1,0,70,4.2,0,0
529,8.1,1,3,0,88,4.3,0,0
530,8.1,1,3,2,90,4.5,1,1
531,6.7,1,2,1,68,4.6,1,0
532,7.7,2,1,0,75,4.4,0,0
533,7.6,0,1,1,73,4.4,1,0
534,8.6,2,3,2,87,4.8,1,1
535,7.5,1,2,0,77,4.3,0,0
536,8.4,2,2,2,73,4.8,0,1
537,8.1,2,3,2,84,4.6,1,1
538,6.5,1,2,0,78,4.6,1,0
539,8.9,2,3,2,90,4.8,1,1
540,7.5,2,2,0,73,4.4,1,1
541,8.7,2,3,2,90,4.8,1,1
542,7.4,2,3,2,84,4.8,1,0
543,7.8,1,1,1,66,3.4,0,1
544,8.3,1,3,1,84,4.6,1,0
545,8.3,1,2,2,85,4.6,1,1
546,7.6,2,3,2,90,4.5,1,1
547,6.5,1,1,1,74,4,0,0
548,7.4,1,3,1,75,4.5,1,1
549,7.9,1,3,0,90,4.6,1,1
550,8.4,1,1,0,73,4.2,1,0
551,7.7,2,2,1,74,4.1,1,0
552,8.2,1,3,1,88,4.8,1,0
553,7.6,0,2,0,81,4,0,0
554,6.8,1,1,0,67,4.1,0,0
555,8.2,0,3,0,76,4.7,1,0
556,8.3,2,3,2,88,4.7,1,1
557,7.1,0,2,0,67,3.2,0,0
558,6.5,1,2,1,60,3.5,0,0
559,8.6,1,3,2,90,4.8,1,1
560,7.6,2,2,0,72,4.3,1,1
561,7.9,2,1,1,78,4.1,1,0
562,7.7,1,3,0,82,4.2,1,1
563,7.4,1,3,2,88,4.8,1,1
564,6.5,1,3,1,68,4,1,0
565,8.2,1,2,1,90,4.7,1,1
566,7.6,1,2,2,70,4.8,1,1
567,7.3,0,2,1,78,4.8,1,0
568,8.1,2,3,2,90,4.4,1,0
569,7.5,1,1,1,71,4.3,0,0
570,7.4,1,3,0,81,4.7,1,1
571,7.8,0,3,2,90,4.7,1,1
572,8.2,2,3,2,90,4.8,1,1
573,8.4,0,3,2,79,4.5,1,0
574,8.2,2,3,2,90,4.7,1,1
575,7.6,2,1,2,87,4.8,0,0
576,8.6,1,1,1,88,4,1,1
577,6.5,2,3,1,84,4.7,1,1
578,6.7,0,3,2,90,4.8,0,0
579,7.5,1,1,0,70,4.5,0,0
580,7.5,1,2,0,60,4,1,0
581,7.5,1,1,1,60,4.1,0,0
582,8.7,2,3,2,90,4.8,1,1
583,7.4,1,2,1,71,4.8,1,0
584,7.8,0,1,1,77,4.1,1,0
585,8.1,2,3,2,90,4.4,1,1
586,7.3,1,1,0,81,4.4,0,0
587,7.8,2,3,0,90,4.8,1,1
588,8,0,0,2,76,4.8,0,1
589,7.5,1,3,1,90,4.8,1,1
590,7.8,1,2,0,81,3.9,0,0
591,6.5,0,3,0,68,4.2,0,1
592,7.9,0,1,0,66,4.1,0,0
593,7.7,0,3,1,80,4.3,0,0
594,8,1,3,0,87,4.3,1,0
595,7.8,1,1,0,85,4.5,1,0
596,8.5,2,3,2,90,4.8,1,1
597,8.4,1,3,2,90,4.6,1,1
598,7.4,2,1,1,81,4,0,1
599,7,1,3,0,82,4.6,1,0
600,7.6,1,2,1,85,4.6,0,0
601,6.8,1,1,1,75,3.8,1,0
602,7.5,0,2,1,63,3.5,1,0
603,8.5,2,3,0,89,4.8,1,1
604,6.9,1,2,1,70,4.4,1,0
605,8.2,0,1,0,73,4.8,1,1
606,6.5,0,3,2,85,4.7,0,1
607,7.7,1,2,2,76,4.1,1,0
608,7.7,1,1,1,78,4.2,1,0
609,6.8,1,1,0,74,3.8,1,0
610,8.3,1,3,0,78,4.7,1,0
611,7.6,2,1,1,89,3.9,1,0
612,7.4,0,3,0,78,4.4,1,1
613,8.1,2,3,2,90,4.8,1,1
614,7.7,0,1,1,67,4.2,0,0
615,6.5,2,3,2,84,4,0,0
616,8,2,3,2,90,4.8,1,1
617,6.9,1,1,1,74,4.3,1,0
618,8.5,2,2,0,79,4.8,0,0
619,6.5,1,1,0,84,4.5,1,0
620,7.7,1,1,0,73,3.9,1,1
621,7.4,1,2,1,90,4.8,1,1
622,6.7,1,1,1,68,4.3,0,0
623,8.3,1,2,2,88,4.4,1,1
624,7.6,0,1,1,70,4,0,0
625,8.4,1,1,0,72,3.9,0,0
626,7.1,1,2,1,73,4.3,1,0
627,7.4,1,1,2,80,4.3,1,0
628,7.5,1,2,1,90,4.3,1,1
629,8.3,2,3,0,90,4.8,1,1
630,8.3,2,3,2,85,4.7,1,1
631,7.6,1,2,1,74,4.6,1,1
632,7.5,1,2,0,80,3.6,0,0
633,8.6,2,2,2,88,4.8,0,1
634,6.6,1,2,1,81,3.4,1,1
635,8.6,2,3,2,87,4.4,1,1
636,7.4,1,1,1,69,3.8,1,1
637,7.7,1,2,0,81,4.4,1,1
