StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,PlacementTraining,PlacementStatus
128,7.4,0,1,0,79,4.3,No,NotPlaced
129,7.4,1,1,1,64,4.3,Yes,NotPlaced
130,8.5,1,2,2,90,4.8,Yes,Placed
131,8,1,3,0,80,4.4,Yes,Placed
132,6.5,1,1,1,72,3.8,No,NotPlaced
133,8.4,1,1,0,81,4.6,No,Placed
134,8.7,0,3,2,88,4.8,No,NotPlaced
135,8,0,1,0,60,4,No,NotPlaced
136,8.4,2,3,1,88,4.6,Yes,NotPlaced
137,8.2,2,3,2,90,4.4,Yes,Placed
138,8.1,2,2,2,90,4.5,Yes,Placed
139,7.9,1,3,1,75,3.7,Yes,NotPlaced
140,8.9,2,3,2,90,4.8,Yes,Placed
141,6.5,1,1,1,72,4.5,No,NotPlaced
142,7.6,1,1,0,73,4.3,Yes,Placed
143,8.4,1,3,2,90,4.6,Yes,Placed
144,7.8,2,3,0,77,4.8,Yes,NotPlaced
145,8.4,1,2,1,74,4.3,Yes,Placed
146,7.6,1,2,0,74,3.7,Yes,Placed
147,7.9,1,1,1,62,4.6,Yes,NotPlaced
148,7.9,1,3,1,80,4.2,Yes,Placed
149,8,2,1,2,90,4.8,Yes,NotPlaced
150,7.9,2,1,0,83,4,Yes,NotPlaced
151,8.4,2,3,2,90,4.8,Yes,Placed
152,8.6,0,3,2,90,4.8,Yes,Placed
153,7.8,0,1,0,81,3.9,Yes,Placed
154,8.1,2,3,3,90,4.8,Yes,Placed
155,7.2,1,3,1,75,4.2,Yes,NotPlaced
156,7.7,0,1,0,81,4.8,Yes,Placed
157,8.4,1,3,2,90,4.5,Yes,Placed
158,8,1,3,1,87,4.6,Yes,NotPlaced
159,7.8,0,1,1,72,4,No,NotPlaced
160,6.5,1,1,0,63,3.5,No,NotPlaced
161,6.5,0,3,0,71,3.6,Yes,NotPlaced
162,7.9,1,2,1,81,4,Yes,NotPlaced
163,6.7,1,1,0,75,4.2,No,NotPlaced
164,6.9,0,1,0,73,4.1,Yes,Placed
165,6.5,1,1,2,85,4.3,No,Placed
166,6.5,0,1,1,79,3.9,No,NotPlaced
167,7.3,1,1,1,71,3.6,No,NotPlaced
168,8.3,2,3,0,71,4.6,Yes,Placed
169,7.5,1,1,1,74,3.9,No,NotPlaced
170,8,2,3,3,76,4.1,Yes,NotPlaced
171,8.3,1,2,1,69,3.8,Yes,NotPlaced
172,6.6,0,3,0,87,4.5,No,NotPlaced
173,7.4,0,3,0,90,4.6,No,NotPlaced
174,8,1,1,1,78,4.4,No,NotPlaced
175,8,2,3,2,90,4.8,Yes,Placed
176,6.7,1,2,0,73,4.5,Yes,NotPlaced
177,8.3,1,2,3,78,3.8,No,NotPlaced
178,8.5,1,3,2,90,4.8,Yes,Placed
179,7.5,2,1,2,90,4.8,No,NotPlaced
180,7.4,1,1,0,60,3.4,No,NotPlaced
181,8.4,0,1,2,88,4.8,Yes,Placed
182,8.2,1,3,0,82,4.8,Yes,Placed
183,6.5,1,1,0,74,4.2,Yes,NotPlaced
184,7.7,1,1,0,71,4.7,Yes,NotPlaced
185,7.3,1,2,2,67,4.5,No,NotPlaced
186,6.5,0,1,0,78,3.7,Yes,NotPlaced
187,6.5,1,1,1,68,4.1,No,NotPlaced
188,7.5,1,1,0,76,4.3,Yes,NotPlaced
189,7.8,1,1,1,65,3.9,No,NotPlaced
190,6.8,1,1,0,78,4.3,No,NotPlaced
191,8.4,2,3,2,90,4.1,Yes,Placed
192,7.8,2,2,2,80,4.6,Yes,Placed
193,7.5,1,2,0,77,4.2,Yes,NotPlaced
194,8.9,0,1,2,80,4.8,Yes,Placed
195,6.5,0,1,0,75,3.7,No,NotPlaced
196,8.4,1,1,2,87,4.1,No,NotPlaced
197,8.1,0,1,0,71,3.6,No,NotPlaced
198,8.5,2,3,0,86,4.2,Yes,Placed
199,7.6,1,1,1,82,4.8,Yes,Placed
200,7.8,2,3,0,79,4.3,No,NotPlaced
201,8.6,1,3,2,90,4.7,Yes,Placed
202,7.9,2,3,2,76,4.6,Yes,Placed
203,6.5,0,2,2,75,4.5,No,NotPlaced
204,8.2,0,2,1,82,4.5,Yes,Placed
205,8.2,1,1,0,81,4.3,Yes,Placed
206,7.6,1,1,0,64,4.1,No,NotPlaced
207,7.3,1,2,1,84,4.6,Yes,NotPlaced
208,8.4,2,3,2,90,4.5,Yes,Placed
209,8.3,2,3,3,90,4.5,Yes,Placed
210,7.8,1,3,0,88,4.8,Yes,Placed
211,8.3,1,2,1,82,4.7,Yes,NotPlaced
212,7.5,1,1,1,69,4.1,No,NotPlaced
213,8.6,2,3,2,78,4.8,Yes,NotPlaced
214,7.8,2,2,2,77,4.2,No,NotPlaced
215,6.6,1,1,1,71,4.3,No,NotPlaced
216,7.4,0,1,1,70,4.2,No,NotPlaced
217,6.9,1,2,1,74,4.1,No,NotPlaced
218,6.6,1,1,0,77,4.5,No,NotPlaced
219,8.3,1,2,2,88,4.1,Yes,Placed
220,7.9,2,2,2,88,4.8,Yes,Placed
221,6.6,1,2,1,76,4.1,Yes,NotPlaced
222,8,2,3,2,86,4.8,Yes,Placed
223,7.5,1,2,0,86,3.8,No,NotPlaced
224,7.9,2,3,2,90,4.8,No,NotPlaced
225,8.3,1,3,2,78,3.9,Yes,Placed
226,7.4,1,1,0,74,3.5,Yes,NotPlaced
227,8,2,2,2,87,3.8,Yes,Placed
228,8.7,2,3,2,87,4.7,Yes,Placed
229,7.4,1,2,0,77,4.5,Yes,NotPlaced
230,7.9,2,3,2,90,4.8,Yes,Placed
231,7.5,1,1,1,70,4.6,No,NotPlaced
232,7.4,2,1,1,87,4.5,Yes,NotPlaced
233,7.7,0,1,1,69,4.8,Yes,NotPlaced
234,7.8,0,1,1,70,3.8,Yes,NotPlaced
235,7.5,2,3,0,88,4.6,Yes,NotPlaced
236,8.2,2,3,1,69,4,Yes,NotPlaced
237,7.8,1,3,2,75,4.3,Yes,NotPlaced
238,7.6,1,1,0,72,4.6,Yes,NotPlaced
239,8.5,2,3,2,90,4.8,Yes,Placed
240,6.7,0,1,1,71,4.7,Yes,NotPlaced
241,7.6,1,3,0,82,4.5,Yes,NotPlaced
242,7.6,0,2,0,80,3.7,No,NotPlaced
243,7.3,1,2,0,71,4.4,Yes,NotPlaced
244,8.1,1,2,1,78,3.5,Yes,NotPlaced
245,7.6,2,3,0,88,4.4,Yes,Placed
246,7.4,1,2,0,77,3.8,Yes,NotPlaced
247,8.4,0,2,1,85,4.3,Yes,Placed
248,6.7,1,2,1,73,4.3,Yes,NotPlaced
249,6.5,1,1,0,70,4.7,Yes,NotPlaced
250,7.4,1,2,1,68,3.4,Yes,NotPlaced
251,8.4,2,3,1,76,4.1,Yes,NotPlaced
252,6.5,1,1,0,68,4.3,Yes,NotPlaced
253,6.6,1,2,1,82,4.4,Yes,NotPlaced
254,8.1,0,2,2,80,4.4,No,Placed
255,6.5,1,1,0,74,4.2,No,NotPlaced
256,8.5,1,3,2,75,4.5,Yes,NotPlaced
257,8.7,2,3,2,90,4.8,Yes,Placed
258,7.5,1,2,3,86,4.8,Yes,NotPlaced
259,8.1,2,3,2,90,4.8,Yes,Placed
260,8.2,1,3,1,83,4.1,Yes,NotPlaced
261,8.7,2,1,0,66,4.8,No,NotPlaced
262,6.6,0,1,2,72,4.2,Yes,Placed
263,8.1,0,2,3,78,4.1,Yes,Placed
264,6.5,1,3,0,80,3.7,No,NotPlaced
265,7.4,1,1,0,88,4.5,Yes,Placed
266,8.2,2,3,2,80,4.8,Yes,Placed
267,6.8,2,2,2,80,4.6,Yes,NotPlaced
268,8,1,2,1,76,4.5,Yes,NotPlaced
269,8.5,1,3,0,82,4.4,Yes,Placed
270,6.6,1,2,1,65,4.1,No,NotPlaced
271,8.4,1,2,0,79,3.8,Yes,NotPlaced
272,7.8,1,1,1,79,3.7,Yes,NotPlaced
273,7.7,1,2,0,81,3.8,Yes,NotPlaced
274,6.8,1,1,0,73,3.7,Yes,NotPlaced
275,7.3,1,2,1,71,4.7,No,NotPlaced
276,6.5,2,2,2,79,4.5,Yes,Placed
277,8.3,2,1,1,83,4.5,Yes,NotPlaced
278,7.3,1,2,1,79,3.8,Yes,NotPlaced
279,6.8,1,2,1,65,3.9,Yes,Placed
280,8.7,1,3,2,90,4.8,Yes,Placed
281,8.3,2,3,1,90,4.8,No,Placed
282,8.2,1,2,1,79,3.8,Yes,NotPlaced
283,8.2,1,1,2,86,4.4,No,NotPlaced
284,8.5,0,2,0,81,3.2,Yes,NotPlaced
285,8,0,1,1,87,3.8,Yes,NotPlaced
286,7.9,1,1,0,77,4.7,Yes,NotPlaced
287,7.7,1,1,2,82,4.4,No,NotPlaced
288,7.6,0,3,3,75,4.3,Yes,Placed
289,6.7,1,3,0,77,4.1,Yes,NotPlaced
290,8.5,0,2,2,75,4.5,No,Placed
291,8.8,1,2,2,90,4.8,No,Placed
292,6.5,2,3,1,82,4.6,No,NotPlaced
293,7.5,0,1,1,80,4.2,No,NotPlaced
294,7.7,2,3,2,78,4.6,Yes,NotPlaced
295,7.7,0,1,0,79,4.8,Yes,NotPlaced
296,8.6,1,1,2,84,4.3,Yes,Placed
297,7.5,0,2,0,69,3.6,No,NotPlaced
298,6.8,1,1,0,68,4.3,Yes,NotPlaced
299,8.1,0,3,2,90,4.8,Yes,NotPlaced
300,8.4,2,3,3,82,4.5,No,Placed
301,7.5,1,1,0,67,3.4,No,NotPlaced
302,8.1,1,3,0,70,4.8,No,NotPlaced
303,7.4,1,1,1,64,4,No,NotPlaced
304,8.4,2,3,2,80,4.6,Yes,Placed
305,8.2,0,3,2,90,4.8,Yes,Placed
306,8,1,2,1,80,4.3,Yes,NotPlaced
307,7.9,0,3,2,90,4.8,Yes,Placed
308,6.8,0,1,0,77,3.3,No,NotPlaced
309,8.3,2,3,2,82,4.6,Yes,Placed
310,7.4,1,2,1,75,4.3,Yes,NotPlaced
311,7.6,1,1,0,66,4.1,Yes,NotPlaced
312,8.5,2,3,1,90,4.8,Yes,NotPlaced
313,8.2,2,3,2,90,4.6,Yes,Placed
314,8.2,1,3,2,90,4.3,Yes,Placed
315,6.5,1,1,0,79,3.6,Yes,NotPlaced
316,7.5,1,1,2,82,4.5,Yes,Placed
317,7.5,1,2,1,85,4.1,Yes,NotPlaced
318,6.6,0,1,1,67,4.3,Yes,NotPlaced
319,7.6,1,1,1,88,4.5,Yes,Placed
320,7.5,1,1,1,81,4.5,Yes,NotPlaced
321,7.5,0,2,1,66,4.5,Yes,Placed
322,8.5,2,3,1,85,4.3,Yes,Placed
323,7.9,2,1,0,71,4.8,Yes,NotPlaced
324,8.2,0,2,0,85,4.1,No,NotPlaced
325,7.2,1,2,0,69,4,Yes,NotPlaced
326,8.6,2,3,2,90,4.8,Yes,Placed
327,6.5,1,1,1,78,3.9,Yes,Placed
328,8.7,1,3,0,86,4.5,Yes,Placed
329,7.8,1,2,0,78,4.8,Yes,Placed
330,7.7,1,1,0,80,4,Yes,NotPlaced
331,6.5,0,2,0,80,4.6,Yes,Placed
332,8.5,1,2,1,71,3.8,Yes,NotPlaced
333,7.4,2,3,0,86,4.6,Yes,Placed
334,8.6,1,3,2,81,4.8,Yes,Placed
335,8,1,2,1,88,3.6,Yes,NotPlaced
336,7.8,1,3,1,89,4.6,Yes,Placed
337,8.1,1,3,2,90,4.7,No,Placed
338,7.2,1,2,0,83,4.5,Yes,NotPlaced
339,8.4,2,3,2,87,4.8,Yes,Placed
340,8.4,0,3,2,85,4.6,Yes,NotPlaced
341,8.3,0,3,1,88,4.7,Yes,NotPlaced
342,7.2,0,2,1,66,3.9,No,NotPlaced
343,8.6,2,3,2,90,4.8,Yes,Placed
344,7.9,2,1,0,73,4.2,No,NotPlaced
345,6.6,1,1,2,81,4.8,No,NotPlaced
346,7.1,1,1,1,63,3.6,Yes,NotPlaced
347,7.8,0,3,0,90,4.7,Yes,Placed
348,6.6,1,1,1,81,4,No,NotPlaced
349,6.5,2,3,0,79,3.7,Yes,NotPlaced
350,7.5,2,1,0,83,4.6,No,NotPlaced
351,7.5,1,2,0,70,3.7,Yes,NotPlaced
352,7.8,0,2,2,74,4.6,Yes,NotPlaced
353,6.6,1,2,0,71,4,No,Placed
354,7.4,1,2,0,72,4.3,Yes,NotPlaced
355,7.8,1,3,2,77,4.2,No,NotPlaced
356,8.2,2,3,2,90,4.8,Yes,Placed
357,8.9,2,3,2,89,4.6,Yes,Placed
358,8.2,1,2,1,90,4.8,Yes,Placed
359,7.5,1,3,0,70,4.2,Yes,NotPlaced
360,7.7,1,2,0,68,3.9,Yes,NotPlaced
361,8.7,1,3,2,90,4.7,Yes,Placed
362,7.5,1,1,1,65,4.4,Yes,NotPlaced
363,6.6,1,1,1,82,3.7,Yes,Placed
364,7.4,2,3,1,84,4.8,Yes,Placed
365,7.5,0,3,2,90,4.8,Yes,Placed
366,8.2,1,1,1,79,4.6,Yes,NotPlaced
367,8.7,1,2,0,84,4.4,Yes,Placed
368,8,2,3,1,87,4.2,Yes,Placed
369,8.4,2,2,0,76,4.4,Yes,Placed
370,8,2,2,2,81,4.5,No,NotPlaced
371,7.5,1,2,2,70,4.7,Yes,NotPlaced
372,6.5,1,3,2,90,4,No,Placed
373,7.8,0,3,2,73,4.6,No,NotPlaced
374,7.6,1,2,0,64,4.5,Yes,NotPlaced
375,8.7,0,3,0,75,3.7,Yes,NotPlaced
376,7.2,1,1,0,85,3.5,Yes,NotPlaced
377,8.1,1,3,2,90,4.7,Yes,Placed
378,7.4,1,2,0,77,4.1,Yes,NotPlaced
379,8.2,2,2,2,81,4.8,Yes,Placed
380,8.2,2,1,2,90,4.8,Yes,Placed
381,6.5,1,2,1,65,4,Yes,NotPlaced
382,7.4,0,2,1,73,3.8,No,NotPlaced
383,7.3,0,1,1,80,3.6,Yes,NotPlaced
384,8.7,0,1,1,87,4.1,No,NotPlaced
385,8.5,2,1,3,82,3.6,Yes,NotPlaced
386,8.5,1,3,2,74,4.1,Yes,Placed
387,7.9,1,2,1,76,4.1,Yes,NotPlaced
388,7.4,2,3,0,71,4.8,Yes,NotPlaced
389,6.7,1,2,0,86,4.4,No,Placed
390,8.3,2,3,2,82,4.8,Yes,Placed
391,7.6,1,1,0,76,4.3,Yes,NotPlaced
392,7.5,1,2,0,90,4.2,Yes,Placed
393,8.9,0,3,0,89,4.8,No,Placed
394,7.3,1,1,0,79,4.1,No,NotPlaced
395,8.6,1,2,0,86,4.8,Yes,Placed
396,8.2,2,3,2,90,4.8,Yes,Placed
397,7.7,1,1,1,73,4.6,No,NotPlaced
398,7.9,1,3,0,88,4.7,Yes,Placed
399,7.4,1,1,1,87,4.6,Yes,NotPlaced
400,6.9,0,1,0,90,4.5,Yes,Placed
401,8,1,3,2,90,4.8,Yes,Placed
402,7.1,1,3,0,81,4.4,Yes,NotPlaced
403,6.9,0,1,1,76,3.8,No,NotPlaced
404,8.5,2,3,2,90,4.8,Yes,Placed
405,6.9,0,1,2,76,4.8,No,Placed
406,7.3,1,1,1,77,4.7,Yes,NotPlaced
407,7.8,2,3,0,89,4.6,Yes,NotPlaced
408,8.3,2,1,0,81,4.1,Yes,NotPlaced
409,8.6,1,3,2,83,4.4,Yes,Placed
410,8.6,2,3,0,87,4.8,No,NotPlaced
411,8.7,2,1,0,90,4.7,Yes,Placed
412,7.5,1,3,2,90,4.2,Yes,Placed
413,7.8,0,1,1,63,4.5,No,NotPlaced
414,6.5,0,1,0,71,3.4,Yes,NotPlaced
415,7.6,1,3,1,73,4.4,Yes,NotPlaced
416,6.5,1,1,1,80,3.8,Yes,NotPlaced
417,8,1,3,0,75,4.3,No,NotPlaced
418,8,2,3,0,86,4.8,Yes,Placed
419,7.5,1,1,0,67,4.2,Yes,Placed
420,7.8,1,3,0,78,4.4,Yes,Placed
421,7.3,1,1,1,75,3.6,Yes,NotPlaced
422,7.8,1,2,0,82,4.7,Yes,NotPlaced
423,6.5,1,1,1,82,3.4,No,NotPlaced
424,8.1,1,3,3,90,4.8,Yes,Placed
425,7.9,0,1,0,85,4.5,No,NotPlaced
426,8.7,1,3,0,74,4.6,Yes,Placed
427,7.1,2,2,0,76,4,Yes,Placed
428,8.9,1,3,2,81,4.8,No,Placed
429,8.3,0,3,0,75,4.2,No,NotPlaced
430,8.3,1,2,0,90,4.5,Yes,Placed
431,7.9,2,3,2,86,4.7,Yes,Placed
432,8.1,2,3,2,90,4.5,Yes,Placed
433,7.7,2,1,1,64,3.7,Yes,NotPlaced
434,8.1,2,3,2,85,4.5,Yes,Placed
435,7.8,1,3,0,81,4.3,No,NotPlaced
436,7.2,1,1,1,67,3.8,No,NotPlaced
437,8.4,1,1,2,84,4.8,Yes,Placed
438,8.4,2,3,2,90,4.8,Yes,Placed
439,8.2,1,1,0,76,4.2,Yes,NotPlaced
440,6.5,0,1,0,67,4.3,No,Placed
441,6.5,1,1,0,73,4.1,Yes,NotPlaced
442,8.3,2,3,2,90,4.8,Yes,Placed
443,8.2,0,3,2,78,4.5,Yes,Placed
444,8.1,1,2,2,76,4.5,Yes,Placed
445,6.5,1,1,1,60,3.8,No,NotPlaced
446,8.2,0,3,1,83,4.7,No,NotPlaced
447,7.7,1,3,1,75,4.6,Yes,NotPlaced
448,7.7,0,3,2,89,4.4,Yes,Placed
449,6.5,1,1,0,80,4.3,Yes,NotPlaced
450,8.3,2,3,2,87,4.8,Yes,NotPlaced
451,8,1,3,0,77,4.1,No,Placed
452,8.6,0,2,1,90,4.6,Yes,Placed
453,7.6,0,2,0,83,4.2,Yes,NotPlaced
454,7,1,1,1,71,4.3,Yes,NotPlaced
455,7.9,2,3,2,90,4.8,Yes,Placed
456,7.7,1,3,2,84,4.6,Yes,Placed
457,7.4,1,3,0,76,4.4,Yes,NotPlaced
458,6.5,1,1,1,78,4.1,Yes,NotPlaced
459,7.4,1,2,0,73,4.3,Yes,NotPlaced
460,7.8,2,3,2,84,4.1,Yes,Placed
461,7.7,1,1,0,80,4.8,Yes,NotPlaced
462,7.9,0,1,0,60,3.4,No,NotPlaced
463,7.4,1,1,0,79,4.8,Yes,NotPlaced
464,8.2,2,2,1,76,4.6,Yes,NotPlaced
465,7.4,0,1,0,78,4.6,No,NotPlaced
466,6.7,1,1,1,66,3.6,No,NotPlaced
467,6.5,1,2,0,84,4.2,No,NotPlaced
468,7.8,0,1,1,73,4.8,Yes,Placed
469,7.2,1,2,1,68,4.4,No,NotPlaced
470,8.1,0,2,0,88,4,Yes,Placed
471,8.2,1,2,0,83,4.6,Yes,Placed
472,8.2,0,3,3,90,4.7,Yes,Placed
473,8.4,2,1,2,81,4.7,Yes,NotPlaced
474,7.8,0,3,2,77,4.2,Yes,NotPlaced
475,7.3,1,2,1,75,4.6,Yes,NotPlaced
476,7.5,1,1,0,67,4.6,No,NotPlaced
477,8,2,1,0,74,4.1,Yes,Placed
478,7.5,2,3,2,90,4.7,Yes,Placed
479,8.4,2,3,1,85,4.7,Yes,Placed
480,6.6,1,1,0,73,3.4,No,NotPlaced
481,7.6,1,1,0,66,3.7,Yes,NotPlaced
482,7.1,1,2,0,80,4.3,Yes,NotPlaced
483,7.6,1,2,2,69,3.3,Yes,NotPlaced
484,7.5,1,1,2,75,3.5,Yes,NotPlaced
485,6.5,1,1,0,74,3.9,No,NotPlaced
486,6.7,1,1,1,73,4,Yes,NotPlaced
487,8.3,1,3,1,86,4.8,Yes,NotPlaced
488,8.6,2,1,2,73,4.6,No,NotPlaced
489,6.6,1,3,0,70,4.1,No,Placed
490,8.3,1,3,0,82,4.8,Yes,NotPlaced
491,7.6,1,2,1,76,3.9,No,NotPlaced
492,8.3,2,3,2,79,4.4,Yes,Placed
493,8.5,1,2,1,70,4.5,Yes,Placed
494,7.7,1,2,0,82,4.3,Yes,NotPlaced
495,7.4,1,1,0,89,4.4,Yes,NotPlaced
496,8.8,1,3,2,88,4.8,Yes,Placed
497,7,1,2,0,75,4.6,Yes,NotPlaced
498,7.7,0,3,2,86,4.7,Yes,NotPlaced
499,7.5,0,2,0,71,3.4,No,NotPlaced
500,7.5,1,1,1,79,3.6,Yes,NotPlaced
501,7.8,1,1,0,82,4.2,Yes,NotPlaced
502,6.8,1,1,2,74,4.2,No,NotPlaced
503,7.3,0,1,0,80,3.5,Yes,NotPlaced
504,7.2,0,2,1,60,3.6,No,NotPlaced
505,6.7,2,0,0,69,3.9,Yes,NotPlaced
506,7.3,0,3,2,77,4.6,Yes,Placed
507,6.6,2,3,1,72,4.6,No,NotPlaced
508,6.9,2,1,0,67,4,No,NotPlaced
509,8.2,1,1,0,79,4.2,No,NotPlaced
510,6.7,1,2,1,80,4.1,No,NotPlaced
511,7.9,1,2,1,63,4.2,Yes,NotPlaced
512,8.3,2,3,2,89,4.7,Yes,Placed
513,6.8,0,2,0,88,4.5,Yes,NotPlaced
